City Label|State|STD Code
Achalpur|Maharashtra|7223
Adityapur|Jharkhand|657
Alandurai|Tamil Nadu|422
Almora|Uttaranchal|5962
Ambikapur|Chhattisgarh|7774
Dadara|Dadra & Nagar Haveli|26388
Amreli|Gujarat|2792
Anantnag|Jammu & Kashmir|1932
Baddi|Himachal Pradesh|1795
Bagaha|Bihar|6251
Bahadurgarh|Haryana|1276
Balangir|Orissa|6652
Balotra|Rajasthan|2988
Banda|Madhya Pradesh|7583
Banswara|Rajasthan|2962
Baramula|Jammu & Kashmir|1952
Baran|Rajasthan|7453
Barbil|Orissa|6767
Bargarh|Orissa|6646
Baripada Town|Orissa|6792
Barmer|Rajasthan|2982
Barnala|Punjab|1679
Barshi|Maharashtra|2184
Begusarai|Bihar|6243
Behrampur|Orissa|680
Bettiah|Bihar|6254
Betul|Madhya Pradesh|7141
Bhadrak|Orissa|6784
Bhadravati|Karnataka|8282
Bhatapara|Chhattisgarh|7726
Bhawanipatna|Orissa|6670
Bidhan Nagar|West Bengal|353
Botad|Gujarat|2849
Brajarajnagar|Orissa|66451
Bundi|Rajasthan|747
Buxar|Bihar|6183
Chaibasa|Jharkhand|6582
Chamba|Himachal Pradesh|1899
Champhai|Mizoram|3831
Chass|Jharkhand|6548
Chatrapur|Madhya Pradesh|7682
Chitradurga|Karnataka|8194
Chittorgarh|Rajasthan|1472
Choudwar|Orissa|67129
Churu|Rajasthan|1562
Dalli-Rajhara|Chhattisgarh|7748
Daltonganj|Jharkhand|6562
Daman|Daman & Diu|2636
Datia|Madhya Pradesh|7522
Dausa|Rajasthan|1427
Deesa|Gujarat|2744
Deoghar|Jharkhand|6432
Dhamtari|Chhattisgarh|7722
Dharmsala|Himachal Pradesh|1892
Dhaulpur|Rajasthan|5642
Dhenkanal|Orissa|6762
Dhoraji|Gujarat|2824
Dhubri|Assam|3662
Dhuri|Punjab|1671
Diphu|Assam|3671
Diu|Daman & Diu|28758
Edathala|Kerala|495
Farokkabad|Uttar Pradesh|5692
Fatehabad|Haryana|1667
Fazilka|Punjab|1638
Gangapur City|Rajasthan|7463
Giridih|Jharkhand|6532
Gonda|Uttar Pradesh|5262
Gondal|Gujarat|2825
Hajipur|Bihar|6224
Haldwani|Uttaranchal|5946
Hansi|Haryana|1663
Hanumangarh|Rajasthan|1552
Hazaribagh|Jharkhand|6546
Hindaun|Rajasthan|7469
Hosangabad|Madhya Pradesh|7574
Ittarsi|Madhya Pradesh|7572
Jagadhalpur|Chhattisgarh|7782
Jagadhari|Haryana|1732
Jagraon|Punjab|1624
Jamalpur|Bihar|6344
Jatni|Orissa|6754
Jaunpur|Uttar Pradesh|5452
Jawai|Meghalaya|3652
Jehanabad|Bihar|6114
Jetpur Navagadh|Gujarat|2823
Jeypur|Orissa|6854
Jharia|Jharkhand|326
Jharsugda|Orissa|6645
Jhumri Talaiya|Jharkhand|6534
Jhunjhunun|Rajasthan|1595
Jind|Haryana|1681
Kaithal|Haryana|1746
Kakching|Manipur|3848
Kalyan|Maharashtra|251
Kapurthala|Punjab|1822
Karauli|Rajasthan|7464
Karimganj|Assam|3843
Kashipur|Uttaranchal|5947
Kathua|Jammu & Kashmir|1922
Katni|Madhya Pradesh|7622
Kavaratti|Lakshadweep|4866
Kayamkulam|Kerala|4786
Kendrapara|Orissa|6727
Khambhat|Gujarat|2698
Khargone|Madhya Pradesh|7282
Kicha|Uttaranchal|5944
Kishanganj|Bihar|6466
Kishangarh|Rajasthan|1497
Korba|Chhattisgarh|7759
Kot Kapura|Punjab|1635
Krishnarajapura|Karnataka|8230
Kullu|Himachal Pradesh|1902
Lakhimpur Kheri|Uttar Pradesh|5872
Lilong (Thoubal)|Manipur|385
Lunglei|Mizoram|372
Madhyamgram|West Bengal|3452
Mahadevapura|Karnataka|8236
Mahasamund|Chhattisgarh|7723
Mahesana|Gujarat|2762
Makrana|Rajasthan|1588
Malerkotla|Punjab|1675
Malout|Punjab|1637
Mandi|Himachal Pradesh|1905
Mandi Dabwali|Haryana|1668
Mandigovindgarh|Punjab|1761
Mandsaur|Madhya Pradesh|7422
Manjeri|Kerala|483
Mapusa|Goa|83284
Margaon|Goa|8342
Mawlai|Meghalaya|3638
Mhow|Madhya Pradesh|7324
Mohali|Punjab|172
Mokokchung|Nagaland|369
Motihari|Bihar|6252
Muktsar|Punjab|1633
Nabha|Punjab|1765
Nagore|Rajasthan|1584
Nahan|Himachal Pradesh|1702
Naharlagun|Arunachal Pradesh|360
Nainital|Uttaranchal|5942
Narnaul|Haryana|1282
Narwana|Haryana|1684
Nawada|Bihar|6324
Nawagoan|Assam|3672
Neemuch|Madhya Pradesh|7423
Nongstoin|Meghalaya|3654
North Lakhimpur|Assam|3752
Orai|Uttar Pradesh|5162
Palwal|Haryana|1275
Panaji|Goa|832
Parlakhemundi|Orissa|6815
Pasighat|Arunachal Pradesh|360
Patan|Chhattisgarh|7826
Payyannur|Kerala|4985
Phagawara|Punjab|1824
Pithoragarh|Uttaranchal|5964
Ponnani|Kerala|4939
Ponta Sahib|Himachal Pradesh|1704
Port Blair|Andaman & Nicobar Islands|3192
Pudukkottai|Tamil Nadu|4322
Quilandy|Kerala|474
Raigarh|Chhattisgarh|7762
Rajagangpur|Orissa|6624
Rajarhat Gopalpur|West Bengal|339116
Rajnandgaon|Chhattisgarh|7744
Rajpura|Punjab|1762
Ramgarh Cantonment|Jharkhand|6553
Ramnagar|Bihar|6256
Ratangarh|Madhya Pradesh|7272692
Rayagada|Orissa|6856
Rudrapur|Uttar Pradesh|5568
Saharsa|Bihar|6478
Sahibganj|Jharkhand|6436
Samana|Punjab|1764
Sardarshahar|Rajasthan|1563
Sasaram|Bihar|6184
Satara|Maharashtra|2162
Sawai Madhopur|Rajasthan|7462
Sehore|Madhya Pradesh|7562
Sibsagar|Assam|3772
Sindri|Jharkhand|6544
Singrauli|Madhya Pradesh|7805
Sirhind -Fategarh|Punjab|1763
Siwan|Bihar|6154
Solan|Himachal Pradesh|1792
Sri Ganga Nagar|Rajasthan|154
Sujangarh|Rajasthan|1560
Sunabeda|Orissa|6853
Sunam|Punjab|1676
Sundernagar|Himachal Pradesh|1907
Surendranagar|Gujarat|2752
Taliparamba|Kerala|4982
Taran Taaran|Punjab|1852
Tehri|Uttaranchal|1376
Tezpur|Assam|3712
Thoubal|Manipur|3848
Thiruvetriyur|Tamil Nadu|456157
Tohana|Haryana|1692
Tuensang|Nagaland|3861
Tura|Meghalaya|3651
Udhampur|Jammu & Kashmir|1992
Vejalpur|Gujarat|26726
Veraval|Gujarat|2876
Vidisha|Madhya Pradesh|7592
Wokha|Nagaland|3860
Zunheboto|Nagaland|3867
Rangareddy|Andhra Pradesh|8414
